2026-03-27 14:54:10,287 - modules.app_logging - WARNING - [crypto_api.backend] User=None | Подключение к БД не удалось, приложение работает без БД
2026-03-27 14:54:10,290 - modules.app_logging - INFO - [crypto_api.backend] User=None | Приложение успешно инициализировано
2026-03-30 13:06:05,071 - modules.app_logging - WARNING - [crypto_api.backend] User=None | Подключение к БД не удалось, приложение работает без БД
2026-03-30 13:06:05,073 - modules.app_logging - INFO - [crypto_api.backend] User=None | Приложение успешно инициализировано
2026-03-30 13:07:16,313 - modules.app_logging - WARNING - [crypto_api.backend] User=None | Подключение к БД не удалось, приложение работает без БД
2026-03-30 13:07:16,314 - modules.app_logging - INFO - [crypto_api.backend] User=None | Приложение успешно инициализировано
2026-03-30 14:10:56,324 - modules.app_logging - WARNING - [crypto_api.backend] User=None | Подключение к БД не удалось, приложение работает без БД
2026-03-30 14:10:56,326 - modules.app_logging - INFO - [crypto_api.backend] User=None | Приложение успешно инициализировано
2026-03-31 14:04:41,579 - modules.app_logging - INFO - [crypto_api.backend] User=None | База данных успешно инициализирована
2026-03-31 14:04:41,637 - modules.app_logging - INFO - [crypto_api.backend] User=None | Приложение успешно инициализировано
2026-03-31 14:09:42,472 - modules.app_logging - INFO - [crypto_api.backend] User=None | Request created for 0x/usd (ID: 976)
2026-03-31 14:10:34,707 - modules.app_logging - INFO - [crypto_api.backend] User=None | Таблица курсов основных криптовалют к BTC отображена
2026-03-31 14:10:43,361 - modules.app_logging - INFO - [crypto_api.backend] User=None | Таблица курсов следующих криптовалют к BTC отображена
2026-03-31 14:10:53,929 - modules.app_logging - INFO - [crypto_api.backend] User=None | Таблица курсов следующих криптовалют к BTC отображена
2026-03-31 14:11:02,712 - modules.app_logging - INFO - [crypto_api.backend] User=None | Сгенерирован график для bitcoin/usd за 7 дней
2026-03-31 14:11:25,493 - modules.app_logging - INFO - [crypto_api.backend] User=None | Сгенерирован график для ethereum/rub за 30 дней
2026-04-01 10:44:21,781 - modules.app_logging - INFO - [crypto_api.backend] User=None | База данных успешно инициализирована
2026-04-01 10:44:21,847 - modules.app_logging - INFO - [crypto_api.backend] User=None | Приложение успешно инициализировано
2026-04-01 10:46:11,661 - modules.app_logging - INFO - [crypto_api.backend] User=None | Request created for bitcoin/usd (ID: 977)
2026-04-01 10:54:45,328 - modules.app_logging - INFO - [crypto_api.backend] User=None | База данных успешно инициализирована
2026-04-01 10:54:45,387 - modules.app_logging - INFO - [crypto_api.backend] User=None | Приложение успешно инициализировано
2026-04-01 12:45:57,938 - modules.app_logging - INFO - [crypto_api.backend] User=None | База данных успешно инициализирована
2026-04-01 12:45:57,993 - modules.app_logging - INFO - [crypto_api.backend] User=None | Приложение успешно инициализировано
2026-04-01 12:46:16,246 - modules.app_logging - INFO - [crypto_api.backend] User=None | Request created for ethereum/usd (ID: 978)
2026-04-01 13:44:43,713 - modules.app_logging - INFO - [crypto_api.backend] User=None | База данных успешно инициализирована
2026-04-01 13:44:43,777 - modules.app_logging - INFO - [crypto_api.backend] User=None | Приложение успешно инициализировано
2026-04-01 13:45:35,554 - modules.app_logging - INFO - [crypto_api.backend] User=None | Request created for bitcoin/cny (ID: 979)
2026-04-01 14:48:07,735 - modules.app_logging - INFO - [crypto_api.backend] User=None | База данных успешно инициализирована
2026-04-01 14:48:07,794 - modules.app_logging - INFO - [crypto_api.backend] User=None | Приложение успешно инициализировано
2026-04-01 15:01:47,185 - modules.app_logging - INFO - [crypto_api.backend] User=None | База данных успешно инициализирована
2026-04-01 15:01:47,243 - modules.app_logging - INFO - [crypto_api.backend] User=None | Приложение успешно инициализировано
2026-04-01 15:02:06,881 - modules.app_logging - INFO - [crypto_api.backend] User=None | База данных успешно инициализирована
2026-04-01 15:02:06,941 - modules.app_logging - INFO - [crypto_api.backend] User=None | Приложение успешно инициализировано
